PID,Process Name,CPU Usage,GPU Usage,Memory Usage,IO_Usage,Timestamp
14668,LiDAR360.exe,8.466666666666667,1.0,7.3673174020626035,"pio(read_count=347490, write_count=240, read_bytes=1336539634, write_bytes=99651, other_count=180413, other_bytes=2180760)",1646724085.2754111
14936,LiDAR360.exe,9.049999999999999,1.0,6.505348464316035,"pio(read_count=262491, write_count=240, read_bytes=985685306, write_bytes=99651, other_count=187420, other_bytes=2238984)",1646724089.3516712
7156,LiDAR360.exe,8.791666666666666,3.0,6.507198772255027,"pio(read_count=263273, write_count=240, read_bytes=986068910, write_bytes=99649, other_count=194507, other_bytes=2323268)",1646724093.4324176
13224,LiDAR360.exe,8.458333333333334,0.0,4.809571081907283,"pio(read_count=314741, write_count=484, read_bytes=1190056197, write_bytes=1083952, other_count=204502, other_bytes=2453496)",1646724097.5107021
14668,LiDAR360.exe,8.85,0.0,6.184003693930895,"pio(read_count=348502, write_count=240, read_bytes=1337030592, write_bytes=99651, other_count=189889, other_bytes=2295944)",1646724101.5898883
14936,LiDAR360.exe,8.85,1.0,6.505002277669386,"pio(read_count=263581, write_count=240, read_bytes=986209085, write_bytes=99651, other_count=197389, other_bytes=2358324)",1646724105.6639338
7156,LiDAR360.exe,8.333333333333334,2.0,7.372713138762113,"pio(read_count=314584, write_count=484, read_bytes=1189897754, write_bytes=1083950, other_count=203583, other_bytes=2446640)",1646724109.743625
13224,LiDAR360.exe,8.658333333333333,2.0,7.371877515821923,"pio(read_count=315903, write_count=484, read_bytes=1190616340, write_bytes=1083952, other_count=215213, other_bytes=2582380)",1646724113.8104348
14668,LiDAR360.exe,8.591666666666667,2.0,6.183514257637355,"pio(read_count=349636, write_count=240, read_bytes=1337575717, write_bytes=99651, other_count=200270, other_bytes=2420292)",1646724117.8864138
14936,LiDAR360.exe,6.333333333333333,0.0,7.352312001550916,"pio(read_count=315197, write_count=505, read_bytes=1190265360, write_bytes=1165975, other_count=208936, other_bytes=2510424)",1646724121.9748714
7156,LiDAR360.exe,9.174999999999999,1.0,7.3674845266506415,"pio(read_count=315746, write_count=484, read_bytes=1190457897, write_bytes=1083950, other_count=214294, other_bytes=2575524)",1646724126.0542855
13224,LiDAR360.exe,7.55,1.0,7.366732466004472,"pio(read_count=316945, write_count=484, read_bytes=1191122408, write_bytes=1083952, other_count=224938, other_bytes=2700236)",1646724130.1526618
14668,LiDAR360.exe,8.791666666666666,3.0,7.028830423933005,"pio(read_count=401273, write_count=484, read_bytes=1541559130, write_bytes=1083952, other_count=212229, other_bytes=2577396)",1646724134.298106
14936,LiDAR360.exe,7.3,1.0,7.367615838826957,"pio(read_count=316121, write_count=505, read_bytes=1190713626, write_bytes=1165975, other_count=217588, other_bytes=2615592)",1646724138.371536
7156,LiDAR360.exe,8.858333333333333,1.0,7.367699401120976,"pio(read_count=316670, write_count=484, read_bytes=1190906163, write_bytes=1083950, other_count=222949, other_bytes=2680692)",1646724142.4448943
13224,LiDAR360.exe,7.983333333333333,0.0,7.36695927794538,"pio(read_count=318093, write_count=484, read_bytes=1191673769, write_bytes=1083952, other_count=235482, other_bytes=2826920)",1646724146.8044295
14668,LiDAR360.exe,8.658333333333333,1.0,7.047261878499469,"pio(read_count=402153, write_count=484, read_bytes=1541986050, write_bytes=1083952, other_count=220469, other_bytes=2677556)",1646724150.868986
14936,LiDAR360.exe,9.041666666666666,2.0,7.362411101656634,"pio(read_count=317283, write_count=505, read_bytes=1191273769, write_bytes=1165975, other_count=228299, other_bytes=2744476)",1646724154.9458928
7156,LiDAR360.exe,8.333333333333334,1.0,7.367759088473846,"pio(read_count=317936, write_count=484, read_bytes=1191515326, write_bytes=1083950, other_count=234563, other_bytes=2820064)",1646724159.0245128
13224,LiDAR360.exe,8.591666666666667,18.0,6.30772363896123,"pio(read_count=319225, write_count=484, read_bytes=1192220075, write_bytes=1083952, other_count=245946, other_bytes=2953064)",1646724163.1076543
14668,LiDAR360.exe,8.533333333333333,16.0,7.04215264109374,"pio(read_count=403375, write_count=484, read_bytes=1542573867, write_bytes=1083952, other_count=231674, other_bytes=2811920)",1646724167.1852903
14936,LiDAR360.exe,8.725,0.0,7.3626498510681175,"pio(read_count=318399, write_count=505, read_bytes=1191813747, write_bytes=1165975, other_count=238681, other_bytes=2870148)",1646724171.2707686
7156,LiDAR360.exe,8.858333333333333,7.000000000000001,6.308929323489218,"pio(read_count=319054, write_count=484, read_bytes=1192054123, write_bytes=1083950, other_count=244862, other_bytes=2943940)",1646724175.33196
13224,LiDAR360.exe,9.174999999999999,1.0,6.307616201726063,"pio(read_count=320355, write_count=484, read_bytes=1192767562, write_bytes=1083952, other_count=256493, other_bytes=3081004)",1646724179.3978286
14668,LiDAR360.exe,9.049999999999999,0.0,7.042331703152352,"pio(read_count=404431, write_count=484, read_bytes=1543086171, write_bytes=1083952, other_count=241562, other_bytes=2932112)",1646724183.4572263
14936,LiDAR360.exe,8.975,16.0,6.3037365237894685,"pio(read_count=319517, write_count=505, read_bytes=1192352544, write_bytes=1165975, other_count=248980, other_bytes=2994024)",1646724187.5498009
7156,LiDAR360.exe,8.85,2.0,6.308869636136347,"pio(read_count=320066, write_count=484, read_bytes=1192545081, write_bytes=1083950, other_count=254338, other_bytes=3059124)",1646724191.6125922
13224,LiDAR360.exe,8.791666666666666,0.0,5.026092923180944,"pio(read_count=340733, write_count=707, read_bytes=1271954418, write_bytes=1990411, other_count=264745, other_bytes=3186396)",1646724195.6764843
14668,LiDAR360.exe,9.041666666666666,0.0,5.983215438873944,"pio(read_count=405593, write_count=484, read_bytes=1543646314, write_bytes=1083952, other_count=252273, other_bytes=3060996)",1646724199.756995
14936,LiDAR360.exe,8.525,2.0,6.303509711848561,"pio(read_count=320485, write_count=505, read_bytes=1192822156, write_bytes=1165975, other_count=258044, other_bytes=3104200)",1646724203.8404007
7156,LiDAR360.exe,9.241666666666667,0.0,5.0270598582974495,"pio(read_count=340605, write_count=484, read_bytes=1270992580, write_bytes=1083950, other_count=265958, other_bytes=3203440)",1646724207.9122066
13224,LiDAR360.exe,8.525,1.0,5.026856921297689,"pio(read_count=402524, write_count=707, read_bytes=1517306907, write_bytes=1990411, other_count=276046, other_bytes=3336120)",1646724211.9737985
14668,LiDAR360.exe,8.591666666666667,1.0,5.983275126226814,"pio(read_count=406561, write_count=484, read_bytes=1544115926, write_bytes=1083952, other_count=261337, other_bytes=3171172)",1646724216.0342298
14936,LiDAR360.exe,8.791666666666666,0.0,5.0239680534187485,"pio(read_count=340980, write_count=505, read_bytes=1271248309, write_bytes=1165975, other_count=269252, other_bytes=3243508)",1646724220.0978026
7156,LiDAR360.exe,8.791666666666666,0.0,4.8539426600313424,"pio(read_count=404998, write_count=484, read_bytes=1527908302, write_bytes=1083950, other_count=274708, other_bytes=3324768)",1646724224.1897535
13224,LiDAR360.exe,8.85,2.0,6.131562385698719,"pio(read_count=437720, write_count=707, read_bytes=1655198762, write_bytes=1990411, other_count=286760, other_bytes=3474268)",1646724228.282333
14668,LiDAR360.exe,8.725,1.0,4.738865443696681,"pio(read_count=427237, write_count=707, read_bytes=1623442333, write_bytes=1990411, other_count=272142, other_bytes=3305820)",1646724232.35946
14936,LiDAR360.exe,8.658333333333333,11.0,5.02498273841755,"pio(read_count=402473, write_count=505, read_bytes=1516461247, write_bytes=1165975, other_count=278000, other_bytes=3364036)",1646724236.4499185
7156,LiDAR360.exe,8.658333333333333,0.0,6.1316340105221645,"pio(read_count=437294, write_count=484, read_bytes=1654097373, write_bytes=1083950, other_count=285420, other_bytes=3462116)",1646724240.5249016
