Total CPU,Total GPU,Total Memory
34.89166667,3,31.02423259
35.54166667,6,32.57462352
35.35,5,31.14973122
35.41666667,6,28.2850009
35.48333333,9,28.2874839
35.54166667,0,28.51733989
36.125,4,31.20472714
34.76666667,1,31.19437736
34.68333333,4,32.64694071
36.26666667,14,31.19713491
34.18333333,2,28.28592009
34.50833333,1,28.29246182
35.53333333,0,28.62525463
34.75833333,0,32.24325127
36.45833333,1,32.19297064
34.89166667,3,33.85729279
34.175,4,33.98238555
36.375,2,30.78259431
35.275,2,26.92374726
34.55833333,7,25.38547286
35.6,1,25.22875775
34.68333333,4,29.66548581
35.86666667,2,29.66023333
34.69166667,5,29.65514796
34.7,5,29.85008686
35.79166667,14,28.08520346
34.63333333,1,26.3253338
34.425,1,26.32563223
36.24166667,18,26.78480704
34.95,2,31.38906556
34.95,3,31.37690128
34.95,3,31.37077736
34.825,12,33.6473485
35.79166667,11,31.75143942
34.75833333,2,29.85083892
35.01666667,12,27.94835229
35.60833333,6,27.95139635
34.89166667,4,22.86590257
35.475,2,29.03833886
34.16666667,4,30.6986142
34.24166667,2,30.70207607
34.83333333,3,30.6957134
34.95,21,32.35894924
35.06666667,1,28.78478698
34.50833333,11,28.78107443
35.21666667,22,26.99297265
35.93333333,25,28.49617476
33.00833333,3,30.02674948
34.5,4,26.31789675
34.80833333,10,29.73992788
35.33333333,0,29.73426952
30.24166667,3,27.4495809
31.83333333,4,29.57375829
34.425,21,27.89197162
35.86666667,4,26.21241726
34.36666667,3,26.215712
34.5,6,23.91429899
35.60833333,1,21.31656214
35.09166667,0,18.99326774
35.075,13,21.1557286
34.375,12,19.61861214
34.56666667,3,19.18232147
33.59166667,3,22.06178262
34.9,2,23.21196984
34.80833333,4,25.16195566
34.56666667,5,24.58733358
35.41666667,3,24.1993061
34.425,4,23.70688544
35.1,4,21.69945651
32.21666667,6,27.30167564
33.85833333,7,27.3847485
35.74166667,0,28.25069261
35.29166667,0,30.37528781
35.66666667,2,27.64013874
33.59166667,4,27.24118848
34.24166667,3,25.68238163
35.53333333,2,27.37265584
33.85,1,23.73278975
32.1,4,29.21391518
33.4,10,29.20805388
34.63333333,11,27.18698042
34.88333333,3,29.27459334
34.575,5,27.63972093
35.45833333,12,26.00555283
36.1,9,26.00905051
31.73333333,3,27.69151762
35.21666667,13,29.36312162
35.86666667,0,29.41327093
34.70833333,0,29.40652626
34.83333333,0,29.40313602
34.51666667,0,29.43101002
35.00833333,21,29.44013024
36.05833333,42,25.6652633
35.20833333,24,26.14310831
32.10833333,4,28.00470909
33.90833333,5,24.19438786
34.75833333,3,30.04527644
35.85833333,13,30.05795403
35.08333333,12,30.05430117
35.275,11,30.17381912
35.93333333,0,30.18039667
35.475,0,28.43860034
34.89166667,0,24.88974552
33.91666667,0,28.23538877
35.54166667,0,29.74386724
36.125,0,29.54913129
34.375,0,29.53879344
35.20833333,0,29.54261343
35.28333333,0,26.17141205
35.09166667,1,29.43128458
35.48333333,0,26.13902569
34.24166667,0,27.77710928
35.73333333,0,27.77344448
36.3,0,27.71175163
35.15,0,29.3970121
34.89166667,0,29.39061361
35.15,0,27.75227934
35.00833333,0,29.39438586
35.28333333,0,27.75231515
34.83333333,0,27.90296603
35.26666667,0,27.90266759
35.85833333,0,29.67995403
35.35,0,29.8322284
35.075,0,29.84654143
34.44166667,0,28.11410407
34.89166667,0,24.30473784
35.66666667,0,28.19235419
35.29166667,1,26.46303252
35.29166667,0,28.3165397
34.95833333,0,29.68358302
35.28333333,0,27.97516385
35.08333333,0,29.82197411
34.7,0,29.81988506
35.93333333,0,28.03757295
35.86666667,0,29.89265588
34.94166667,0,28.11307745
34.88333333,0,26.32927316
34.625,0,28.15719834
35.34166667,0,29.98216303
35.60833333,0,28.19283169
34.55833333,0,30.01214996
35.09166667,0,30.01526564
35.49166667,0,30.01219771
35.21666667,0,30.04731775
35.74166667,0,28.25907272
