Process Name,CPU Usage,GPU Usage,Memory Usage
LiDAR360.exe,8.858333333,14,13.70120798
LiDAR360.exe,8.85,0,13.59252924
LiDAR360.exe,9.183333333,0,13.78287221
LiDAR360.exe,8.658333333,0,13.78287221
LiDAR360.exe,8.658333333,0,13.64996042
LiDAR360.exe,8.716666667,0,13.58615464
LiDAR360.exe,8.591666667,1,13.58609495
LiDAR360.exe,8.975,6,13.61704881
LiDAR360.exe,8.716666667,0,13.7636887
LiDAR360.exe,8.658333333,2,13.7636887
LiDAR360.exe,8.725,0,13.74851617
LiDAR360.exe,8.458333333,2,13.74821774
LiDAR360.exe,9.041666667,5,13.74821774
LiDAR360.exe,8.916666667,2,13.65166747
LiDAR360.exe,8.658333333,0,13.5864292
LiDAR360.exe,8.983333333,0,13.58625013
LiDAR360.exe,8.466666667,0,14.61565403
LiDAR360.exe,8.983333333,2,16.91963361
LiDAR360.exe,8.4,0,16.19978026
LiDAR360.exe,2.133333333,0,0.622706215
LiDAR360.exe,0.516666667,0,0.622706215
LiDAR360.exe,0.516666667,0,0.622706215
LiDAR360.exe,0.716666667,0,0.622706215
LiDAR360.exe,0.258333333,0,0.622706215
LiDAR360.exe,0.258333333,0,0.622706215
LiDAR360.exe,0.516666667,0,0.622706215
LiDAR360.exe,0.325,1,0.622706215
LiDAR360.exe,0.583333333,0,0.622706215
LiDAR360.exe,0.908333333,4,0.622706215
LiDAR360.exe,1.425,13,0.62584577
LiDAR360.exe,0.458333333,13,0.627803515
LiDAR360.exe,0.45,13,0.629677698
LiDAR360.exe,0.583333333,13,0.631587693
LiDAR360.exe,0.458333333,13,0.633414126
LiDAR360.exe,0.583333333,12,0.635204747
LiDAR360.exe,0.45,34,0.637007305
LiDAR360.exe,0.516666667,33,0.638809863
LiDAR360.exe,0.391666667,37,0.640624358
LiDAR360.exe,0.45,37,0.642426916
LiDAR360.exe,0.85,33,0.644229474
LiDAR360.exe,0.191666667,33,0.646008158
LiDAR360.exe,0.191666667,34,0.647810716
LiDAR360.exe,0.516666667,34,0.649290962
LiDAR360.exe,0.516666667,33,0.649290962
LiDAR360.exe,0.841666667,34,0.649290962
LiDAR360.exe,0.325,34,0.649290962
LiDAR360.exe,0.325,33,0.649290962
LiDAR360.exe,0.516666667,34,0.649290962
LiDAR360.exe,0.191666667,33,0.649243212
LiDAR360.exe,0.65,33,0.649243212
LiDAR360.exe,0.45,33,0.649243212
LiDAR360.exe,8.533333333,25,3.092616627
LiDAR360.exe,1.233333333,16,2.652076213
LiDAR360.exe,0.133333333,30,2.627914772
LiDAR360.exe,0.775,32,2.62792671
LiDAR360.exe,0.258333333,31,2.627998334
LiDAR360.exe,0.716666667,12,2.628105772
LiDAR360.exe,1.166666667,13,2.631567638
LiDAR360.exe,0.391666667,26,2.631806388
LiDAR360.exe,0.966666667,11,1.81849458
LiDAR360.exe,1.366666667,16,2.736689004
LiDAR360.exe,0.516666667,21,2.441308232
LiDAR360.exe,3.191666667,9,2.638801745
LiDAR360.exe,2.391666667,28,2.926590286
LiDAR360.exe,1.166666667,28,2.684689382
LiDAR360.exe,0.583333333,32,2.68663519
LiDAR360.exe,0.775,41,2.608767069
LiDAR360.exe,0.908333333,20,2.427854703
LiDAR360.exe,0.45,10,2.427854703
LiDAR360.exe,0.908333333,12,2.42687583
LiDAR360.exe,0.775,10,2.439231112
LiDAR360.exe,0.966666667,11,2.439231112
LiDAR360.exe,0.908333333,10,2.437010743
LiDAR360.exe,0.458333333,10,2.439923486
LiDAR360.exe,0.458333333,10,2.44013836
LiDAR360.exe,0.325,10,2.44013836
LiDAR360.exe,0.65,16,2.44013836
LiDAR360.exe,0.516666667,35,2.44013836
LiDAR360.exe,0.133333333,32,2.44013836
LiDAR360.exe,0.775,39,2.44013836
LiDAR360.exe,1.625,16,2.440377109
LiDAR360.exe,1.041666667,13,2.440293547
LiDAR360.exe,0.258333333,11,2.440293547
LiDAR360.exe,7.225,10,2.440580046
LiDAR360.exe,8.658333333,13,2.783507764
LiDAR360.exe,8.858333333,13,2.696674603
LiDAR360.exe,9.308333333,10,2.994263807
LiDAR360.exe,9.05,12,2.853341967
LiDAR360.exe,8.725,12,3.037441638
LiDAR360.exe,8.858333333,33,2.881860584
LiDAR360.exe,8.208333333,31,3.09552937
LiDAR360.exe,9.05,28,3.09552937
LiDAR360.exe,8.716666667,28,2.926065037
LiDAR360.exe,7.875,33,4.748427358
LiDAR360.exe,8.725,29,4.748427358
LiDAR360.exe,8.791666667,27,4.748427358
LiDAR360.exe,9.3,0,4.748427358
LiDAR360.exe,8.075,0,4.748427358
